SampleID	A01	A02	A03	A04	A05	A06	A07	A08	A09	B10	B11	B12	B13	B14	B15	B16	B17	B18	C19	C20	C21	C22	C23	C24	C25	C26	C27
Unassigned;Other;Other;Other;Other;Other;Other	0.000271812992661	0.000271812992661	0.000116491282569	0.000465965130276	0.000660117267891	0.000116491282569	0.000116491282569	0.000543625985322	0.000271812992661	7.7660855046e-05	0.000465965130276	0.000349473847707	0.00163087795597	7.7660855046e-05	0.000660117267891	0.000427134702753	0.0	0.000465965130276	0.000116491282569	0.000349473847707	0.000155321710092	0.000543625985322	0.000155321710092	0.000349473847707	0.000155321710092	0.000232982565138	0.000116491282569
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.000116491282569	0.0	3.8830427523e-05	0.0010095911156	0.000155321710092	0.000310643420184	3.8830427523e-05	0.00178619966606	3.8830427523e-05	0.000116491282569	0.000155321710092	3.8830427523e-05	0.0	3.8830427523e-05	7.7660855046e-05	3.8830427523e-05	0.0	3.8830427523e-05	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__variabile	0.0	0.0	0.0	3.8830427523e-05	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__;s__	7.7660855046e-05	0.0	3.8830427523e-05	0.0	3.8830427523e-05	3.8830427523e-05	3.8830427523e-05	3.8830427523e-05	7.7660855046e-05	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.000116491282569	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other	0.006756494389	0.000698947695414	0.00415485574496	0.00904748961286	0.00271812992661	0.00869801576515	0.00155321710092	0.00104842154312	0.002523977789	0.00124257368074	0.00302877334679	0.00566924241836	0.00361122975964	0.0048926338679	0.00520327728808	0.00135906496331	0.00229099522386	0.00194152137615	0.00407719488992	0.000698947695414	0.00462082087524	0.00349473847707	0.00504795557799	0.00159204752844	0.0015143866734	0.00155321710092	0.000893099833029
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	0.0	3.8830427523e-05	7.7660855046e-05	3.8830427523e-05	0.0	7.7660855046e-05	0.0	0.0	3.8830427523e-05	0.0	0.0	0.00170853881101	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	0.0	0.0	3.8830427523e-05	0.000194152137615	0.0	7.7660855046e-05	0.0	0.0	7.7660855046e-05	0.0	3.8830427523e-05	3.8830427523e-05	0.0	0.0	7.7660855046e-05	0.0	3.8830427523e-05	0.0	7.7660855046e-05	0.0	0.0	0.0	7.7660855046e-05	3.8830427523e-05	0.0	0.0	0.0
