SampleID	A01	A02	A03	A04	A05	A06	A07	A08	A09	B10	B11	B12	B13	B14	B15	B16	B17	B18	C19	C20	C21	C22	C23	C24	C25	C26	C27
Unassigned;Other	0.000271812992661	0.000271812992661	0.000116491282569	0.000465965130276	0.000660117267891	0.000116491282569	0.000116491282569	0.000543625985322	0.000271812992661	7.7660855046e-05	0.000465965130276	0.000349473847707	0.00163087795597	7.7660855046e-05	0.000660117267891	0.000427134702753	0.0	0.000465965130276	0.000116491282569	0.000349473847707	0.000155321710092	0.000543625985322	0.000155321710092	0.000349473847707	0.000155321710092	0.000232982565138	0.000116491282569
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	3.8830427523e-05	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0312196637285	0.00920281132295	0.0149885450239	0.0205801265872	0.0048926338679	0.0310255115909	0.0111831631266	0.0154933405817	0.0794082242845	0.0134741583505	0.00819322020735	0.0271424688386	0.0218227002679	0.0340542849377	0.0139789539083	0.0082708810624	0.0215897177028	0.00485380344038	0.0131246845028	0.0192987224789	0.0233370869413	0.0197258571817	0.0307925290257	0.0118432803945	0.00900865918534	0.00648468139634	0.0138236321982
k__Bacteria;p__Bacteroidetes	0.565836989865	0.357006950647	0.35413349901	0.479089814779	0.37075292199	0.496679998447	0.418708499981	0.537374286491	0.440919504524	0.267619306489	0.443249330175	0.296082009863	0.386751058129	0.287888789656	0.3963033433	0.480759523162	0.259076612434	0.343649283579	0.509765852522	0.709742554266	0.418980312973	0.545334524133	0.416572826467	0.31227429814	0.255426552246	0.258300003883	0.339222614841
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.000155321710092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	0.000310643420184	0.000232982565138	0.00038830427523	0.00038830427523	0.00038830427523	0.000271812992661	0.000155321710092	0.000116491282569	0.0	3.8830427523e-05	0.000621286840368	7.7660855046e-05	0.000232982565138	0.000194152137615	0.000621286840368	0.000660117267891	0.000116491282569	0.000465965130276	0.000271812992661	0.000155321710092	0.000155321710092	7.7660855046e-05	0.000194152137615	0.000194152137615	0.000310643420184	0.000194152137615	0.000155321710092
k__Bacteria;p__Deferribacteres	0.000155321710092	0.00481497301285	0.0118432803945	0.00298994291927	0.00372772104221	0.009280472178	0.0211237525725	0.000116491282569	3.8830427523e-05	0.00594105541102	0.000427134702753	0.000427134702753	0.00139789539083	0.000155321710092	3.8830427523e-05	3.8830427523e-05	7.7660855046e-05	0.000194152137615	0.00198035180367	0.000465965130276	7.7660855046e-05	0.000582456412845	0.00038830427523	0.0129305323652	0.0174736923854	0.00904748961286	0.00648468139634
k__Bacteria;p__Firmicutes	0.286685046402	0.394750126199	0.386712227702	0.372422630373	0.399137964509	0.348969052149	0.267696967344	0.368423096338	0.358909641595	0.402205568283	0.489807012775	0.57014716732	0.334019337553	0.510697782783	0.472100337825	0.468333786355	0.475750398012	0.541412650953	0.334951267813	0.168640546732	0.380732341863	0.305323651613	0.397856560401	0.394594804489	0.398866151516	0.435133770823	0.313555702248
k__Bacteria;p__GAL15	7.7660855046e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
